time,open,high,low,close,volume
2022-04-07 20:00:00,128.4,128.4,128.4,128.4,1342
2022-04-07 19:00:00,128.4,128.4,128.4,128.4,1323
2022-04-07 18:00:00,128.22,128.35,128.22,128.35,1543
2022-04-07 17:00:00,128.55,128.55,128.2,128.4,150966
2022-04-07 16:00:00,129.0157,129.2499,128.53,128.59,679640
2022-04-07 15:00:00,128.39,129.09,128.23,129.05,501528
2022-04-07 14:00:00,127.48,128.43,127.43,128.4,377481
2022-04-07 13:00:00,127.33,127.77,127.3,127.52,221260
2022-04-07 12:00:00,127.26,127.4805,126.89,127.33,321226
2022-04-07 11:00:00,127.725,127.765,126.73,127.26,518292
2022-04-07 10:00:00,129.0,129.2952,127.575,127.74,309619
2022-04-07 09:00:00,129.0,129.01,129.0,129.01,640
2022-04-07 08:00:00,129.02,129.02,129.02,129.02,801
2022-04-07 07:00:00,128.76,128.97,128.76,128.97,604
2022-04-07 05:00:00,128.76,128.76,128.5,128.57,2642
2022-04-06 20:00:00,129.36,129.36,129.35,129.35,670
2022-04-06 19:00:00,129.35,129.35,129.35,129.35,501
2022-04-06 18:00:00,129.14,129.69,129.12,129.69,1252
2022-04-06 17:00:00,129.39,129.5,129.13,129.13,163026
2022-04-06 16:00:00,129.41,129.515,128.95,129.4,767349
2022-04-06 15:00:00,128.85,129.42,128.58,129.39,337111
2022-04-06 14:00:00,128.93,129.22,128.72,128.85,279812
2022-04-06 13:00:00,128.83,128.94,128.4395,128.93,257295
2022-04-06 12:00:00,128.96,129.32,128.53,128.82,297488
2022-04-06 11:00:00,128.75,129.49,128.51,128.96,473557
2022-04-06 10:00:00,127.72,128.75,127.16,128.68,810385
2022-04-06 09:00:00,128.11,128.11,127.1,127.1201,35510
2022-04-06 08:00:00,128.7,128.7,128.0,128.0,2561
2022-04-06 05:00:00,128.89,128.89,128.89,128.89,100
2022-04-05 20:00:00,128.9,129.37,128.9,129.37,360
2022-04-05 18:00:00,129.38,129.38,128.89,128.89,200
2022-04-05 17:00:00,128.89,129.093,128.89,128.89,109428
2022-04-05 16:00:00,129.2401,129.27,128.66,128.91,736570
2022-04-05 15:00:00,129.4584,129.7068,129.19,129.24,217801
2022-04-05 14:00:00,129.63,129.82,129.37,129.46,177285
2022-04-05 13:00:00,129.511,129.7125,129.275,129.64,268390
2022-04-05 12:00:00,130.48,130.79,129.51,129.525,343441
2022-04-05 11:00:00,130.87,131.23,130.23,130.49,388101
2022-04-05 10:00:00,130.14,130.99,129.59,130.8926,331648
2022-04-05 09:00:00,130.2,130.22,130.2,130.22,509
2022-04-05 08:00:00,129.73,129.73,129.73,129.73,211
2022-04-04 20:00:00,130.27,130.27,130.27,130.27,596
2022-04-04 19:00:00,130.28,130.28,130.25,130.26,350
2022-04-04 18:00:00,130.16,130.3,130.15,130.3,1243
2022-04-04 17:00:00,130.27,130.27,130.17,130.19,131393
2022-04-04 16:00:00,130.11,130.32,129.88,130.28,551736
2022-04-04 15:00:00,129.98,130.23,129.9736,130.12,215152
2022-04-04 14:00:00,129.79,130.0,129.72,129.984,184396
2022-04-04 13:00:00,130.015,130.07,129.5632,129.82,230470
2022-04-04 12:00:00,129.63,130.0,129.47,129.99,206675
2022-04-04 11:00:00,129.69,130.18,129.23,129.63,345266
2022-04-04 10:00:00,130.49,130.5,128.93,129.75,352747
2022-04-04 09:00:00,130.2101,130.2101,130.11,130.11,1209
2022-04-04 08:00:00,130.25,130.4,130.25,130.26,895
2022-04-04 05:00:00,130.0,130.0,130.0,130.0,101
2022-04-01 20:00:00,130.37,130.37,130.37,130.37,400
2022-04-01 18:00:00,130.14,130.15,129.7392,130.0,1389
2022-04-01 17:00:00,130.15,130.15,129.35,130.0,87814
2022-04-01 16:00:00,129.5,130.27,129.46,130.11,699263
2022-04-01 15:00:00,129.175,129.73,129.175,129.52,397818
2022-04-01 14:00:00,129.025,129.2001,128.78,129.17,301881
2022-04-01 13:00:00,128.66,129.1,128.06,129.02,481915
2022-04-01 12:00:00,128.6,129.23,128.4784,128.67,371485
2022-04-01 11:00:00,129.57,129.72,128.231,128.6,597219
2022-04-01 10:00:00,130.55,130.55,129.1379,129.56,390455
2022-04-01 09:00:00,130.5,130.83,130.02,130.02,6416
2022-04-01 08:00:00,130.5,130.5,130.5,130.5,1000
2022-04-01 06:00:00,130.25,130.25,130.25,130.25,210
2022-03-31 20:00:00,130.02,130.02,130.02,130.02,300
2022-03-31 19:00:00,130.1,130.1,129.74,130.02,1627
2022-03-31 18:00:00,129.87,130.04,129.76,130.04,2367
2022-03-31 17:00:00,130.02,130.11,129.8066,130.02,317600
2022-03-31 16:00:00,130.99,131.15,130.0,130.03,1067156
2022-03-31 15:00:00,131.3831,131.4568,130.78,130.99,298513
