time,open,high,low,close,volume
2022-04-07 20:00:00,164.59,164.59,164.59,164.59,100
2022-04-07 17:00:00,162.92,162.92,162.92,162.92,11134
2022-04-07 16:00:00,163.22,163.805,162.82,162.94,635667
2022-04-07 15:00:00,161.85,163.405,161.475,163.33,241098
2022-04-07 14:00:00,161.06,162.0,160.93,161.83,202909
2022-04-07 13:00:00,159.79,161.09,159.72,161.09,118935
2022-04-07 12:00:00,158.93,159.78,158.66,159.78,80502
2022-04-07 11:00:00,159.25,159.37,158.31,158.91,122883
2022-04-07 10:00:00,158.15,159.24,157.52,159.24,94506
2022-04-06 17:00:00,158.14,158.14,158.14,158.14,35192
2022-04-06 16:00:00,157.8,158.2,157.58,158.18,295907
2022-04-06 15:00:00,157.48,158.02,156.9667,157.81,65478
2022-04-06 14:00:00,158.25,158.33,157.46,157.515,43437
2022-04-06 13:00:00,158.75,158.88,158.22,158.3,39067
2022-04-06 12:00:00,157.67,158.8541,157.66,158.77,37227
2022-04-06 11:00:00,158.55,158.7,157.47,157.67,80171
2022-04-06 10:00:00,155.46,158.57,155.46,158.475,84486
2022-04-05 17:00:00,155.76,155.76,155.76,155.76,68385
2022-04-05 16:00:00,156.06,156.14,155.37,155.77,191987
2022-04-05 15:00:00,156.58,156.67,156.0,156.03,46646
2022-04-05 14:00:00,157.02,157.36,156.5,156.58,33316
2022-04-05 13:00:00,156.865,157.175,156.71,157.02,27754
2022-04-05 12:00:00,157.09,157.715,156.95,156.96,45837
2022-04-05 11:00:00,157.25,157.64,156.46,157.09,102218
2022-04-05 10:00:00,154.62,157.76,154.62,157.235,69307
2022-04-04 17:00:00,154.75,154.75,154.75,154.75,10538
2022-04-04 16:00:00,155.13,155.17,154.63,154.75,262290
2022-04-04 15:00:00,155.34,155.515,154.96,155.13,82627
2022-04-04 14:00:00,155.08,155.38,154.92,155.38,65630
2022-04-04 13:00:00,155.43,155.5188,154.6,155.085,90915
2022-04-04 12:00:00,155.05,155.57,154.82,155.435,86713
2022-04-04 11:00:00,154.46,155.13,153.83,155.05,137477
2022-04-04 10:00:00,155.76,156.01,154.06,154.41,85422
2022-04-04 09:00:00,158.51,158.51,157.7,157.7,398
2022-04-01 17:00:00,156.52,156.55,155.67,155.67,23876
2022-04-01 16:00:00,156.94,157.07,156.42,156.52,219478
2022-04-01 15:00:00,156.85,157.46,156.85,156.91,63056
2022-04-01 14:00:00,156.81,156.97,156.35,156.9,69743
